Контекст для запроса от пользователя GregoryPlus:

Таблица (Алгоритм замены MMSI УКВ FURUNO FM8800S):
1,Выключить УКВ.,
2,Поставить перемычку в порт принтер между 2 и 15 как на Рисунок 438.,Рисунок 438 (Алгоритм смены MMSI у FURINO FM8800S №1)
2,Или между 25 и 26 если FM-8810 как на Рисунок 439.,Рисунок 439 (Схема портов FM-8100)
3,Включить питание и зажать [MENU].,
4,Выбрать SELF ID используя [▼] и [ENT] как на Рисунок 440.,Рисунок 440 (Алгоритм смены MMSI у FURINO FM8800S №2)
5,Последовательно нажать цифры пароля ( 652111 ).,
6,Станция издаст звуковой сигнал.,
7,Нажмите ent и станция даст ввести новый MMSI.,
 (table_90.csv)

Таблица (table_4.csv):
№ ПП,Name,MMSI,"Frequency Band, kHz",Time (UTC)
West I,West I,West I,West I,West I
1,Sweden - Göteborg,002653000,2187.5,
2,Finland - Turku,002301000,2187.5,24 h
3,Denmark - Lyngby,002191000,2187.5,
Russian Federation I,Russian Federation I,Russian Federation I,Russian Federation I,Russian Federation I
4,Saint-Petersburg,002733700,4207.5,
5,Temryuk (Taman),002734446,2187.5,
West II,West II,West II,West II,West II
6,Madrid,002241022,8414.5,24 h
7,Lisbon,002630100,2187.5,24 h
Russian Federation III,Russian Federation III,Russian Federation III,Russian Federation III,Russian Federation III
8,Taganrog,002734487,2187.5,24 h
9,Novorossiysk,002734411,2187.5,24 h
10,Arkhangelsk,002734414,2187.5,24 h
Europe III,Europe III,Europe III,Europe III,Europe III
11,Ukraine - Odessa,002723660,2187.5,24 h
12,Romania - Constanta,002640570,2187.5 4207.5 8414.5 12577,24 h
13,Bulgaria - Varna,002070810,2187.5,24 h
14,Georgia,002130100,2187.5,24 h
Turkey III,Turkey III,Turkey III,Turkey III,Turkey III
15,Istanbul,002711000,4207.5 8414.5 12577 16804.5,24 h
16,Samsun,002712000,2187.5,24 h
17,Izmir,002715000,2187.5,24 h
18,Antalya,002713000,2187.5,24 h
Mediterranean III,Mediterranean III,Mediterranean III,Mediterranean III,Mediterranean III
19,Cyprus,002091000,2187.5 4207.5 8414.5,24 h
20,Greece - Olympia Radio,002371000,8414.5,24 h
21,Israel - Haifa,004280001,2187.5,24 h
Egypt III,Egypt III,Egypt III,Egypt III,Egypt III
22,Alexandria,006221111,"2187.5 4207.5 8414.5
12577 16804.5",24 h
23,Port Said,006221113,2187.5,
Japan XI,Japan XI,Japan XI,Japan XI,Japan XI
24,Tokyo Coast Guard Radio,004310001,4207.5 8414.5 12577 16804.5,24h
25,Hokkaido Coast Guard,004310101,2187.5,24
26,Shiogama Coast Guard,004310201,2187.5,24
27,Tokyo Coast Guard Radio,004310001,4207.5 8414.5 12577 16804.5,24h
China XI,China XI,China XI,China XI,China XI
28,Basuo Radio,004123600,2187.5,24
29,Dalian Radio,004121300,2187.5,24
United States of America XII,United States of America XII,United States of America XII,United States of America XII,United States of America XII
30,Kodiak,003669899,4207.5 8414.5 12577 16804.5,24
31,Honolulu,003669993,4207.5 8414.5 12577 16804.5,24
 (table_4.csv)

Таблица (table_69.csv):
Brand,Type of equipment,"Password or Procedures (Полностью отправлять, ничего не вырезать!)",Дополнительная информация
Consilium,F1 S1 F2,"«http://10.2.1.10:8080/config/ consilium
consilium»","10.2.1.222
255.255.255.0"
Consilium,M2-M3.5,"«Preference password: 701164
192.168.5.150
Connect to PDU: \\192.168.5.250\data vdradmin или \\192.168.5.250\data backup vdradmin или \\192.168.5.250\backup
Use “vdrmapping M35” 
Username: vdruser 
Password: 641170
Service password: 701164, 641170, Consilium Crew password: crew
Override password: Use 709223A0 password generator» - Это все один большой пароль (отпраить полностью)","192.168.5.10

255.255.255.0"
Consilium,M4,"«Рабочий стол: 192.168.5.120
User: vdradmin
Password: ayt16bmc
Пароль для опции Preference:
Сonsilium, 701164
L3HVR: L3HVR
PDU 192.168.5.250» Это все один большой пароль (отправить полностью)","192.168.5.10
255.255.255.0"
COBHAM,AIS 6282,"User - user 0000 1234 
Admin - sailorsailor 
Factory reser PSWD - 12345",
Highlander,A(S)-2 VDR,Highlander,
Highlander,B(S)-2 VDR,«\\172.16.0.250\data vdradmin Highlander»,"172.16.0.110
255.255.255.0"
Highlander,VDR600 VDR,admin,"172.16.8.175
255.255.255.0"
Headway,HMT-100,,"192.168.0.32
255.255.255.0"
DANELEC SPERRY,VDR,"«10.0.0.100
svdrsuper
danelec..

Пароли VDR Explorer
- Master (dsvdr..)
- Guest
- Audio (44blokken)» это все один пароль","10.0.0.101
255.255.255.0"
Debeg,AIS,SAIS,
Decca,Bridgemaster E,118BH,
Decca,Bridgemaster 2,"«EBL 247 ### of (10 enter,11 enter en 12
enter)» это все один пароль",
Furuno,FM-8500 & DSC6A (Clear Ram/Rom/all no need press switch inside,652111,
Furuno,FM-8800 MMSI & Output power,"Jumper between #2 and #15 printer port. Turn
on unit press [menu] system [ent] press 652111 [ent]","/14,15	24,25\
/1,2,3,4,5	12,13\
Pin layout sub-D 25"
Furuno,DSC-60,652111 [enter],
Furuno,FS-1562,1562,
Furuno,FS-1570,Switch ON unit and press switch on CPU board an the screen menu appears press:652111 ent.,
Furuno,DP5/6,"""lockkey"" DP5 ""[enter]""",
Furuno,DP5/6,"«Press F5: station, option 5: capslock on and type: ANSWER CODE» это все один пароль",
Furuno,DP5/6,ID code,
Furuno,Felcom-15 and 16,«Job: furunoservice password: felcom15 felcom16» это все один пароль,
Furuno,Felcom-15 clear RAM & IMN,Job: clr ram IMN [ALT +IMN],
Furuno,Felcom-15 and 16 SSAS default,«SSAS manager ship security alert» это все один пароль,rhgservice
Furuno,Felcom-15 and 16,wasuremashita+IMN,if SSAS manager mode cannot be unlocked
Furuno,Felcom-80 telex a/b,ANSWER,
Furuno,Felcom-80 change tel/fax numbers and setting,Switch on at CPU 2 SW2-2,
Furuno,Felcom-81 change tel/fax numbers and setting,«Job: furunoservice password: felcom81» это все один пароль,
Furuno,Felcom-81 clear ram,Job: CLR RAM password: 3504,
Furuno,Felcom-81 manual control,Job: furunomanual password: 3504,
Furuno,Felcom-82 Clear RAM,Job: CLR RAM password: denpa4,
Furuno,Felcom-82,Job: furunoservice password: felcom82,
Furuno,FA-100,switch ON with 0 pressed then 652111,
Furuno,FA-150,[Menu][ent][disp][DIM][NAV][STATUS][MENU],
